success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
true,true,Wielen,016203003,2023-11-06,06.11.2023,11_2023,Wahlstorf,768,alkis
true,true,Braderup,015511001,2023-11-06,06.11.2023,11_2023,Braderup,769,alkis
true,true,Ahrensburg,015001013,2023-11-06,06.11.2023,11_2023,Ahrensburg,770,alkis
true,true,Averlak,013006003,2023-11-06,06.11.2023,11_2023,Averlak,771,alkis
true,true,Oldenswort,011614011,2023-11-06,06.11.2023,11_2023,Oldenswort,772,alkis
true,true,Elskop,012030003,2023-11-06,06.11.2023,11_2023,Elskop,773,alkis
true,true,Einfeld,014527008,2023-11-06,06.11.2023,11_2023,"Neumünster, Stadt",774,alkis
true,true,Riesbriek,011116003,2023-11-06,06.11.2023,11_2023,Lindewitt,775,alkis
true,true,Bliestorf,017022002,2023-11-06,06.11.2023,11_2023,Bliestorf,776,alkis
true,true,Schwesing,011580003,2023-11-06,06.11.2023,11_2023,Schwesing,777,alkis
true,true,Tönning,011623035,2023-11-06,06.11.2023,11_2023,Tönning,778,alkis
true,true,Eiderstede,014526003,2023-11-06,06.11.2023,11_2023,Bordesholm,779,alkis
true,true,Norderheistedt,013343001,2023-11-06,06.11.2023,11_2023,Norderheistedt,780,alkis
